Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Towards FAIR principles for research software","This paper aims to adapt and adapt the FAIR principles for research software, aiming to improve findability, accessibility, interoperability, and reusability of digital research objects for both humans and machines.","Anna-Lena Lamprecht, L. García, Mateusz Kuzak, Carlos Martinez, Ricardo Arcila, Eva Martin Del Pico, Victoria Dominguez Del Angel, Stephanie van de Sandt, J. Ison, P. Martínez, Peter McQuilton, A. Valencia, J. Harrow, Fotis Psomopoulos, J. Gelpi, Neil Philippe Chue Hong, C. Goble, S. Capella-Gutiérrez",2020,217,"The FAIR Guiding Principles, published in 2016, aim to improve the findability, accessibility,
interoperability and reusability of digital research objects for both humans and machines.
The FAIR principles are also directly relevant to research software. In this position paper
“Towards FAIR principles for research software”, we summarised and developed a basis for
community discussion. At the start, we discussed what makes software different from data
concerning the application of the FAIR principles, and which desired characteristics of
research software go beyond FAIR. Then, we presented an analysis of where the existing
principles can directly apply to software, and where they need to be adapted or
reinterpreted. Our next step after the position paper is to prompt for community-agreed
identifiers for FAIR research software.Acknowledgments
To all the authors of Towards FAIR principles for research software
https://doi.org/10.3233/DS-190026, and the numerous people who contributed to the
discussions around FAIR research software at different occasions preceding the work on this
paper. References
Lamprecht, Anna-Lena, et al. (2019) Towards FAIR principles for research software. Data
Science. https://doi.org/10.3233/DS-190026 ABOUT THE AUTHOR(S) Dr Paula Andrea Martinez is leading the National Training Program for the Characterisation
Community in Australia since 2019. She works for the National Image Facility (NIF). Last year
she worked at ELIXIR Europe coordinating the Bioinformatics and Data Science training
program in Belgium and collaborated with multiple ELIXIR nodes in the development of
Software best practices. Her career, spanning Sweden, Australia and Belgium nurtured her
experience in Bioinformatics and Research Software development for complex and dataintensive science. She started a career in Computer Science, later on, interested in research
methods development and now outreach and advocacy in data and software best practices","","Data Sci.","","10.3233/ds-190026","https://consensus.app/papers/towards-fair-principles-for-research-software-ison-hong/038a6dfb9514591f8c5dcd8c0a6bae54/"
"The FAIR Cookbook - the essential resource for and by FAIR doers","The FAIR Cookbook is an online resource for Life Sciences professionals to learn about FAIR principles, technology, tools, and challenges to achieve and improve data FAIRness.","P. Rocca-Serra, Wei Gu, V. Ioannidis, Tooba Abbassi-Daloii, S. Capella-Gutiérrez, Ishwar Chandramouliswaran, Andrea Splendiani, Tony Burdett, Robert T. Giessmann, David Henderson, Dominique Batista, Ibrahim Emam, Yojana Gadiya, Lucas Giovanni, E. Willighagen, C. Evelo, A. Gray, Philip Gribbon, N. Juty, Danielle Welter, Karsten Quast, Paul Peeters, Tom Plasterer, Colin Wood, Eelke van der Horst, Dorothy Reilly, H. V. van Vlijmen, S. Scollen, Allyson L. Lister, M. Thurston, R. Granell, Susanna-Assunta Sansone",2023,42,"","","Scientific Data","1","10.1038/s41597-023-02166-3","https://consensus.app/papers/the-fair-cookbook-the-essential-resource-for-and-by-fair-chandramouliswaran-capella-guti%C3%A9rrez/5cf26db86f4156438d3723a4a8ccc585/"
"Applying the FAIR principles to data in a hospital: challenges and opportunities in a pandemic","Applying FAIR principles in hospitals can improve the efficiency and timely reuse of COVID-19 patient data, making it more Findable, Accessible, Interoperable, and Reusable (FAIR).","N. Queralt-Rosinach, R. Kaliyaperumal, C. Bernabé, Qinqin Long, Simone A. Joosten, H. J. van der Wijk, E. Flikkenschild, K. Burger, Annika Jacobsen, B. Mons, M. Roos",2021,33,"The COVID-19 pandemic has challenged healthcare systems and research worldwide. Data is collected all over the world and needs to be integrated and made available to other researchers quickly. However, the various heterogeneous information systems that are used in hospitals can result in fragmentation of health data over multiple data 'silos' that are not interoperable for analysis. Consequently, clinical observations in hospitalised patients are not prepared to be reused efficiently and timely. There is a need to adapt the research data management in hospitals to make COVID-19 observational patient data machine actionable, i.e. more Findable, Accessible, Interoperable and Reusable (FAIR) for humans and machines. We therefore applied the FAIR principles in the hospital to make patient data more FAIR.","","Journal of Biomedical Semantics","2","10.1186/s13326-022-00263-7","https://consensus.app/papers/applying-the-fair-principles-to-data-in-a-hospital-mons-joosten/b484b5b2ba475f83a154a2b6077bb2d3/"
"Introducing the FAIR Principles for research software","The FAIR4RS Principles aim to enhance discoverability, productivity, quality, reproducibility, and sustainability in research software, maximizing research value.","M. Barker, N. C. Chue Hong, D. Katz, Anna-Lena Lamprecht, Carlos Martinez-Ortiz, F. Psomopoulos, Jen Harrow, L. J. Castro, Morane Gruenpeter, P. Martínez, T. Honeyman",2022,236,"","","Scientific Data","1","10.1038/s41597-022-01710-x","https://consensus.app/papers/introducing-the-fair-principles-for-research-software-castro-harrow/4b5a2ee0db885a218762152b110a2999/"
"Harmonizing quality measures of FAIRness assessment towards machine-actionable quality information","This paper proposes a novel framework for FAIRness assessment, establishing common quality measures and a FAIR-QMM for evaluating and reporting FAIR-compliance in digital data, metadata, and infrastructures.","Ge Peng, Gary Berg-Cross, Mingfang Wu, Robert R. Downs, Sudhir R. Shrestha, Lesley Wyborn, N. Ritchey, H. Ramapriyan, S. J. Clark, Jenny Wood, Zhong Liu, Abdelhak Marouane",2024,0,"ABSTRACT FAIR Principles are a set of high-level guidelines for sharing digital resources. The growing global adoption of the FAIR Principles by policymakers, funders, and organizations compels data professionals, projects, and repositories to demonstrate the level of FAIR-compliance (referred to as FAIRness) of their digital data, metadata, and infrastructures. Because the FAIR Principles offer general objectives rather than specific implementation instructions, discrepancies exist due to different interpretations, domain-specific requirements, and intended applications. These discrepancies hinder direct comparisons and integration of assessment outcomes. To address this issue, we propose a novel framework, including a consolidated FAIR vocabulary. This framework establishes quality measures upfront in FAIRness assessment workflows to surpass the intricacies arising from the aforementioned dependencies. The established quality measures encapsulate the distinctive core concepts inherent in individual FAIR principles and can serve as common, fundamental pillars of holistic FAIRness assessment workflows. Building upon this fundamental set of the quality measures, we introduce a FAIRness quality maturity matrix (FAIR-QMM) as a structured, tiered, and progressive approach for evaluating and reporting the degree of FAIR-compliance. The FAIR-QMM can be used as a FAIRness assessment tool independently and/or as a translator between other FAIRness assessment tools or models.","","International Journal of Digital Earth","1","10.1080/17538947.2024.2390431","https://consensus.app/papers/harmonizing-quality-measures-of-fairness-assessment-ritchey-wyborn/ae8191bcd15b5f4286aafebd0b6510ab/"
"A Comparison of Data FAIRness Evaluation Tools","There are no commonly accepted requirements for evaluating data FAIRness, and this study aims to analyze tools and recommend their usage for improving FAIRness criteria design and practical implementation.","Dejan Slamkov, Venko Stojanov, B. Koteska, A. Mishev",2022,2,"FAIR data principles represent a set of community-agreed guiding principles and practices for all researchers involved in the eScience ecosystem. The FAIR data principles were created to improve the reuse of data by making it findable, accessible, interoperable and reusable. The goal of these principles is to ensure that the inputs and outputs from computational analysis can be easily found and understood by data consumers, both humans and machines. Since the introduction of FAIR Data Principles in 2016, the interest in these principles has been constantly increasing and several research groups have started developing tools for evaluation of data FAIRness. In this paper, we aim to analyze the available online tools and checklists for data FAIRness evaluation and to provide tool comparison based on multiple features. Taking into account this analysis and tools advantages and disadvantages, we provide recommendations about the tools usage. A FAIRness practical evaluation is also conducted on seven data sets from different data repositories using the analysed tools. Findings show that there are no commonly accepted requirements evaluation of data FAIRness. The conclusions of this study could be used for further improvement of the FAIRness criteria design and making FAIR feasible in daily practice.","","","","","https://consensus.app/papers/a-comparison-of-data-fairness-evaluation-tools-mishev-koteska/f774d98059fa5e5ca8f25f354557535c/"
"Leveraging measurement data quality by adoption of the FAIR guiding principles","Adopting FAIR guiding principles in data management throughout the Data Life-Cycle can improve measurement data quality and enhance sustainable manufacturing.","Robert H. Schmitt, M. Bodenbenner, Tobias Hamann, Mark P. Sanders, Mario Moser, Anas Abdelrazeq",2024,1,"Abstract The analysis and reuse of measured process data are enablers for sustainable and resilient manufacturing in the future. Maintaining high measurement data quality is vital for maximising the usage and value of the data at hand. To ensure this data quality, the data management must be applied consequently throughout the complete Data Life-Cycle (DLC) and adhere to the FAIR guiding principles. In the two research consortia NFDI4Ing and the Cluster of Excellence “Internet of Production,” we investigate approaches to increase the measurement of data quality by integrating the FAIR guiding principles in all data management activities of the DLC. To facilitate the uptake of the FAIR guiding principles, we underline the significance of FAIR data for the reuse of high-quality data. Second, we are introducing a harmonised DLC to streamline data management activities. Third, we concisely review current trends and best practices in FAIR-aware data management and give suggestions for implementing the FAIR guiding principles.","","tm - Technisches Messen","3","10.1515/teme-2024-0040","https://consensus.app/papers/leveraging-measurement-data-quality-by-adoption-of-the-schmitt-sanders/38d038ae3a0c5eab8cd34e057847976a/"
"FAIR EVA: Bringing institutional multidisciplinary repositories into the FAIR picture","FAIR EVA is a customizable tool that adapts to various environments and disciplines, enabling FAIR Principles to improve data reproducibility and quality in multidisciplinary repositories.","F. G'omez, Isabel Bernal",2023,4,"","","Scientific Data","1","10.1038/s41597-023-02652-8","https://consensus.app/papers/fair-eva-bringing-institutional-multidisciplinary-gomez-bernal/81cc09fd3d355c62bf13626092790175/"
"From FAIR data to fair data use: Methodological data fairness in health-related social media research","Methodological data fairness in health-related social media research can enhance the reliability and ethics of results, ensuring scientifically sound and ethical practices.","S. Leonelli, R. Lovell, B. Wheeler, L. Fleming, Hywel T. P. Williams",2021,28,"The paper problematises the reliability and ethics of using social media data, such as sourced from Twitter or Instagram, to carry out health-related research. As in many other domains, the opportunity to mine social media for information has been hailed as transformative for research on well-being and disease. Considerations around the fairness, responsibilities and accountabilities relating to using such data have often been set aside, on the understanding that as long as data were anonymised, no real ethical or scientific issue would arise. We first counter this perception by emphasising that the use of social media data in health research can yield problematic and unethical results. We then provide a conceptualisation of methodological data fairness that can complement data management principles such as FAIR by enhancing the actionability of social media data for future research. We highlight the forms that methodological data fairness can take at different stages of the research process and identify practical steps through which researchers can ensure that their practices and outcomes are scientifically sound as well as fair to society at large. We conclude that making research data fair as well as FAIR is inextricably linked to concerns around the adequacy of data practices. The failure to act on those concerns raises serious ethical, methodological and epistemic issues with the knowledge and evidence that are being produced.","","Big Data & Society","1","10.1177/20539517211010310","https://consensus.app/papers/from-fair-data-to-fair-data-use-methodological-data-fleming-leonelli/aefce68c09365032b2ec833245ddb1fc/"
"Fair Data: History and Present Context","FAIR Data principles require research centers and researchers to understand and manage data formats, standards, metadata schemas, and digital preservation, requiring assistance from information professionals.","Ana Carballo-Garcia, Juan-José Bóte-Vericad",2022,3,"In this paper, we discuss FAIR Data, why it exists, and who it applies to. We further review the principles of FAIR data and how they are managed in research centers. We also discuss the types of problems that researchers encounter, and what an information professional can do to assist them. At present, the vast majority of centers subscribe to the FAIR principles. However, both center and researcher face the arduous task of understanding, managing, and implementing the model. They must know data formats and standards. For a correct description and to facilitate data retrieval and interoperability, they must know about different types of metadata schemas. They must know about digital preservation and specific aspects of knowledge and information management. In addition, there are also ethical issues, intellectual property, and cultural differences. All these controversies translate into extra workload for researchers, who only get a return in the form of citations. It is critical to note that these information professionals can play a key role in the proper management of research data, and can help achieve the objectives described in the principles: making data findable, accessible, interoperable, and reusable.","","Central European Journal of Educational Research","","10.37441/cejer/2022/4/2/11379","https://consensus.app/papers/fair-data-history-and-present-context-carballo-garcia-b%C3%B3te-vericad/aa210435af725da8bcef1f292d6c2412/"
"Open Data Ownership and Sharing: Challenges and Opportunities for Application of FAIR Principles and a Checklist for Data Managers","Open data sharing can advance scientific research and innovation, but requires FAIR principles and governance frameworks to effectively implement them in real-time scientific research.","Albert I. Ugochukwu, Peter W.B. Phillips",2024,8,"","systematic review","Journal of Agriculture and Food Research","1","10.1016/j.jafr.2024.101157","https://consensus.app/papers/open-data-ownership-and-sharing-challenges-and-ugochukwu-phillips/eba6fe8c8c5f56edb963faef055c3d95/"
"The compliance to FAIR principles of shared data in addiction research","Addiction research datasets show increasing number but need improvement in FAIR compliance and reusability.","Andrea Sixto-Costoya, Antonia Ferrer-Sapena, R. Aleixandre-Benavent, Fernanda Peset, Juan Carlos Valderrama Zurián, Luiza Petrosyan",2025,0,"The aim of this study is to assess the scientific data sharing in the field of addictions by applying FAIR principles. These principles play an important role, as they guarantee a minimum of findability, accessibility, interoperability and reusability of the shared data. They are one of the main measures to improve the integrity and quality of research data. For this study, three automated tools were used: the Data Citation Index (DCI) to capture datasets on addictions; Bibliometricos, proprietary software for data retrieval; and the F-UJI tool for the FAIR evaluation of datasets. The datasets on the most common addiction topics, such as alcohol, cannabis, tobacco, cocaine, opioids and stimulants, were downloaded by the DCI (5967 DOIs) and parsed into a database for subsequent analysis. In terms of datasets characteristics, alcohol, tobacco and opioids were the most productive. After assessment by F-UJI, none of the addictions analyzed reached an average of 30% FAIR compliance since all of them were between 20% and 29%. When analyzing each principle, Findable was the best scored principle (in a range of 40%–59%), followed by Accessible, Interoperable and Reusable. The results of our study show, first, an increasing number of shared datasets over the years, especially from basic studies. In terms of quality, there are issues that remain to be resolved, especially in relation to interoperability and reusability principles. This emphasizes the important role of adequate data sharing procedures in ensuring that datasets are FAIR compliant and usable in addiction research.","","Scientometrics","1","10.1007/s11192-024-05227-5","https://consensus.app/papers/the-compliance-to-fair-principles-of-shared-data-in-aleixandre-benavent-zuri%C3%A1n/d153d65a69d8505b860164f42ec87d79/"
"Problems in FAIRifying Medical Datasets","FAIR principles for medical data management face challenges in domain-specific applications, highlighting the need for future developments in this area.","Matthias Löbe, Franz Matthies, S. Stäubert, Frank A. Meineke, A. Winter",2020,5,"Despite their young age, the FAIR principles are recognised as important guidelines for research data management. Their generic design, however, leaves much room for interpretation in domain-specific application. Based on practical experience in the operation of a data repository, this article addresses problems in FAIR provisioning of medical data for research purposes in the use case of the Leipzig Health Atlas project and shows necessary future developments.","","Studies in health technology and informatics","3","10.3233/SHTI200189","https://consensus.app/papers/problems-in-fairifying-medical-datasets-matthies-winter/71bdcffa86dc5e109902b4b9a4ec2553/"
"Introduction - FAIR data, systems and analysis","FAIR principles require scientific, technical, social, legal, and ethical advances to create an Internet of FAIR data and services, enabling new insights and assessing their value across various sectors.","Paul T. Groth, M. Dumontier",2020,2,". The FAIR principles outline key attributes to make digital resources more Findable, Accessible, Interoperable, and Reusable. Globally endorsed and widely adopted, there is now a pressing need to enable the establishment of an Internet of FAIR Data and Services, to demonstrate how these can be used to generate new insights, and to assess the overall value for FAIR across different sectors. Realizing the value of the FAIR principles will require a combination of scientiﬁc, technical, social, legal, and ethical advances for the production, sharing, discovery, assessment, and reuse of data. This special issue highlights research and software that is making FAIR data and services a reality.","","Data Sci.","","10.3233/ds-200029","https://consensus.app/papers/introduction-fair-data-systems-and-analysis-dumontier-groth/1f2d3018f1415f5b9e8558012b16ec4c/"
"Making FAIR Easy with FAIR Tools: From Creolization to Convergence","FAIR tools are in development, and this paper highlights the need for a mature ecosystem to support user-friendly and efficient FAIR data management and stewardship.","Mark Thompson, K. Burger, R. Kaliyaperumal, M. Roos, Luiz Olavo Bonino da Silva Santos",2020,35,"Since their publication in 2016 we have seen a rapid adoption of the FAIR principles in many scientific disciplines where the inherent value of research data and, therefore, the importance of good data management and data stewardship, is recognized. This has led to many communities asking “What is FAIR?” and “How FAIR are we currently?”, questions which were addressed respectively by a publication revisiting the principles and the emergence of FAIR metrics. However, early adopters of the FAIR principles have already run into the next question: “How can we become (more) FAIR?” This question is more difficult to answer, as the principles do not prescribe any specific standard or implementation. Moreover, there does not yet exist a mature ecosystem of tools, platforms and standards to support human and machine agents to manage, produce, publish and consume FAIR data in a user-friendly and efficient (i.e., “easy”) way. In this paper we will show, however, that there are already many emerging examples of FAIR tools under development. This paper puts forward the position that we are likely already in a creolization phase where FAIR tools and technologies are merging and combining, before converging in a subsequent phase to solutions that make FAIR feasible in daily practice.","","Data Intelligence","1","10.1162/dint_a_00031","https://consensus.app/papers/making-fair-easy-with-fair-tools-from-creolization-to-kaliyaperumal-roos/744c429d3b075763b850640f1ed0b9d1/"
"Exchange of Clinical and Omics Data According to FAIR Principles: A Review of Open Source Solutions","FAIR principles are already being applied in translational research platforms, improving data reusability and sustainability.","Philipp Pugliese, Christian Knell, J. Christoph",2020,5,"Abstract Background Due to the ongoing increase and importance of the sustainable reusability of data, the findable, accessible, interoperable, reusable or FAIR principles were developed which are also relevant in translational research. Objectives The study aims at identification of platforms by literature search that are suitable for implementation in translational research, in particular with regard to their FAIRness. Methods The collected information is summarized and compared. Results Platforms have been identified which are suitable for linking with other translational platforms with regard to documentation, long-term archiving, and processing as well as for FAIR handling of bioinformatic data. Conclusion There are already platforms in the translational environment that take FAIR principles into account and thus improve translational research. Due to the specialization of the research platforms and the fact that FAIR are only principles and not standards, the platforms have to be examined in individual cases to see whether and how they can be integrated with other platforms.","literature review","Methods of Information in Medicine","1","10.1055/s-0040-1712968","https://consensus.app/papers/exchange-of-clinical-and-omics-data-according-to-fair-pugliese-knell/ec94cf0254d55638813dc229fc89ab8d/"
"Canonical Workflows to Make Data FAIR","The Canonical Workflow Frameworks for Research (CWFR) initiative aims to standardize self-documenting workflow scripts to automate recurring processes, promoting FAIR data without burdening researchers.","P. Wittenburg, A. Hardisty, Yann Le Franc, A. Mozaffari, Limor Peer, N. Skvortsov, Zhiming Zhao, A. Spinuso",2022,4,"Abstract The FAIR principles have been accepted globally as guidelines for improving data-driven science and data management practices, yet the incentives for researchers to change their practices are presently weak. In addition, data-driven science has been slow to embrace workflow technology despite clear evidence of recurring practices. To overcome these challenges, the Canonical Workflow Frameworks for Research (CWFR) initiative suggests a large-scale introduction of self-documenting workflow scripts to automate recurring processes or fragments thereof. This standardised approach, with FAIR Digital Objects as anchors, will be a significant milestone in the transition to FAIR data without adding additional load onto the researchers who stand to benefit most from it. This paper describes the CWFR approach and the activities of the CWFR initiative over the course of the last year or so, highlights several projects that hold promise for the CWFR approaches, including Galaxy, Jupyter Notebook, and RO Crate, and concludes with an assessment of the state of the field and the challenges ahead.","","Data Intelligence","1","10.1162/dint_a_00132","https://consensus.app/papers/canonical-workflows-to-make-data-fair-wittenburg-mozaffari/51a1d111b1b050748765cab6d87b8c1b/"
"Perspectives on the Implementation of FAIR Principles in Solid Earth Research Infrastructures","FAIR principles can improve solid Earth research infrastructures' data accessibility and interoperability, but clear models, reference architectures, and technical guidelines are needed to make their adoption less onerous.","D. Bailo, R. Paciello, M. Sbarra, Riccardo Rabissoni, Valerio Vinciarelli, M. Cocco",2020,16,"FAIR principles have become reference criteria for promoting and evaluating openness of scientific data and for improving datasets Findability, Accessibility, Interoperability, and Reusability. This also applies to Research Infrastructures (RIs) in the solid Earth domain committed to provide access to seismological data, ground deformations inferred from terrestrial, and satellite observations, geological maps, and laboratory experiments. Such RIs have been indeed committed for a long time, well before the appearance of FAIR principles, to engage scientific communities involved in data collection, standardization, and quality control as well as in implementing metadata and services for qualification, storage and accessibility. By addressing open science and managing scientific data, they are working to adopt FAIR principles, thus having the onerous task of turning these principles into practices. In this work we argue that although FAIR principles have the merit of creating a common background of knowledge to engage communities in providing data in a standard way thus easing interoperability and data sharing, in order to make the adoption of FAIR principles less onerous there is an urgent need of clear models, reference architectures and technical guidelines which can support RI implementers in the realization of FAIR data provision systems. We therefore discuss the state of the art of FAIR principles ecosystem and open new perspectives by discussing a four-stages roadmap that reorganizes FAIR principles in a way that better fits to the approach of RI implementers, and a FAIR adoption process that relates FAIR principles to technologies for their implementation.","","","1","10.3389/feart.2020.00003","https://consensus.app/papers/perspectives-on-the-implementation-of-fair-principles-in-cocco-rabissoni/4c52a1bfcfcc5b33b7ece8053a9d8a05/"
"Considerations for the Conduction and Interpretation of FAIRness Evaluations","FAIRness evaluations should be clarified to better understand their limitations, advantages, and interplay, as various approaches exist for assessing principle implementation.","R. D. Azevedo, M. Dumontier",2020,21,"The FAIR principles were received with broad acceptance in several scientific communities. However, there is still some degree of uncertainty on how they should be implemented. Several self-report questionnaires have been proposed to assess the implementation of the FAIR principles. Moreover, the FAIRmetrics group released 14, general-purpose maturity for representing FAIRness. Initially, these metrics were conducted as open-answer questionnaires. Recently, these metrics have been implemented into a software that can automatically harvest metadata from metadata providers and generate a principle-specific FAIRness evaluation. With so many different approaches for FAIRness evaluations, we believe that further clarification on their limitations and advantages, as well as on their interpretation and interplay should be considered.","","Data Intelligence","1","10.1162/dint_a_00051","https://consensus.app/papers/considerations-for-the-conduction-and-interpretation-of-dumontier-azevedo/3bd87fc9cabf52e5b30f9215bf3c1724/"
"GlycoPOST realizes FAIR principles for glycomics mass spectrometry data","GlycoPOST is a free, FAIR repository for glycomics mass spectrometry data, contributing to the future reproducibility and sustainability of scientific research in the field.","Yu Watanabe, Kiyoko F. Aoki-Kinoshita, Y. Ishihama, Shujiro Okuda",2020,109,"Abstract For the reproducibility and sustainability of scientific research, FAIRness (Findable, Accessible, Interoperable and Re-usable), with respect to the release of raw data obtained by researchers, is one of the most important principles underpinning the future of open science. In genomics and transcriptomics, the sharing of raw data from next-generation sequencers is made possible through public repositories. In addition, in proteomics, the deposition of raw data from mass spectrometry (MS) experiments into repositories is becoming standardized. However, a standard repository for such MS data had not yet been established in glycomics. With the increasing number of glycomics MS data, therefore, we have developed GlycoPOST (https://glycopost.glycosmos.org/), a repository for raw MS data generated from glycomics experiments. In just the first year since the release of GlycoPOST, 73 projects have already been registered by researchers around the world, and the number of registered projects is continuously growing, making a significant contribution to the future FAIRness of the glycomics field. GlycoPOST is a free resource to the community and accepts (and will continue to accept in the future) raw data regardless of vendor-specific formats.","","Nucleic Acids Research","1","10.1093/nar/gkaa1012","https://consensus.app/papers/glycopost-realizes-fair-principles-for-glycomics-mass-okuda-aoki-kinoshita/488d55c991e85e359a6d6f0fdc3f9d36/"
"Applying the FAIR Principles to computational workflows","Applying FAIR principles to computational workflows enhances their findability, accessibility, interoperability, and reusability, maximizing their value as research assets and facilitating their adoption by the wider community.","Sean R. Wilkinson, Meznah Aloqalaa, Khalid Belhajjame, M. Crusoe, B. Kinoshita, Luiz Gadelha, D. Garijo, Ove Johan Ragnar Gustafsson, N. Juty, Sehrish Kanwal, Farah Zaib Khan, Johannes Köster, Karsten Peters-von Gehlen, Line Pouchard, Randy K. Rannow, S. Soiland-Reyes, N. Soranzo, Shoaib Sufi, Ziheng Sun, B. Vilne, M. Wouters, Denis Yuen, Carole A. Goble",2024,7,"","","Scientific Data","1","10.1038/s41597-025-04451-9","https://consensus.app/papers/applying-the-fair-principles-to-computational-workflows-vilne-soranzo/85585fdf530c59919f860384d56e4b5a/"
"Geoscience data publication: Practices and perspectives on enabling the FAIR guiding principles","The FAIR Principles can improve geoscience data publication by enhancing findability, accessibility, interoperability, and reuse, but require community awareness and incremental changes for optimal results.","D. Kinkade, Adam Shepherd",2021,27,"Introduced in 2016, the FAIR Guiding Principles endeavour to significantly improve the process of today's data‐driven research. The Principles present a concise set of fundamental concepts that can facilitate the findability, accessibility, interoperability and reuse (FAIR) of digital research objects by both machines and human beings. The emergence of FAIR has initiated a flurry of activity within the broader data publication community, yet the principles are still not fully understood by many community stakeholders. This has led to challenges such as misinterpretation and co‐opted use, along with persistent gaps in current data publication culture, practices and infrastructure that need to be addressed to achieve a FAIR data end‐state. This paper presents an overview of the practices and perspectives related to the FAIR Principles within the Geosciences and offers discussion on the value of the principles in the larger context of what they are trying to achieve. The authors of this article recommend using the principles as a tool to bring awareness to the types of actions that can improve the practice of data publication to meet the needs of all data consumers. FAIR Guiding Principles should be interpreted as an aspirational guide to focus behaviours that lead towards a more FAIR data environment. The intentional discussions and incremental changes that bring us closer to these aspirations provide the best value to our community as we build the capacity that will support and facilitate new discovery of earth systems.","","Geoscience Data Journal","2","10.1002/gdj3.120","https://consensus.app/papers/geoscience-data-publication-practices-and-perspectives-kinkade-shepherd/7a16dd503f8356d9aa1a9aef5895317c/"
"Open and FAIR: Trends in scientific publishing and the implications for official statistics","FAIR data principles in scientific research may interest official statistical organizations due to increased data availability, machine-actionable metadata, and improved data quality.","Arofan Gregory",2024,1,"The FAIR data principles have emerged as a major focus in the world of scientific research data, but have not had as large an impact on official statistics. While there are good reasons for this, FAIR developments within the research community may be of interest to official statistical organizations. These include the increased availability of research data, improvements in the area of machine-actionable metadata, and a focus on provenance information which could lead to increased transparency and data quality. Some activities of interest are described as a starting point for those in official statistics who may wish to follow these developments.","","Statistical Journal of the IAOS","3","10.3233/SJI-240020","https://consensus.app/papers/open-and-fair-trends-in-scientific-publishing-and-the-gregory/c473b4caac9354f9b66656ca71b45629/"
"FAIR AI models in high energy physics","FAIR principles can improve the robustness, portability, and interpretability of AI models in high energy physics, enhancing scientific discovery.","Javier Mauricio Duarte, Haoyang Li, Avik Roy, Ruike Zhu, E. Huerta, Daniel Diaz, P. Harris, Raghav Kansal, Daniel S. Katz, Ishaan H. Kavoori, V. Kindratenko, Farouk Mokhtar, M. Neubauer, Sang Eon Park, M. Quinnan, R. Rusack, Zhizhen Zhao",2022,8,"The findable, accessible, interoperable, and reusable (FAIR) data principles provide a framework for examining, evaluating, and improving how data is shared to facilitate scientific discovery. Generalizing these principles to research software and other digital products is an active area of research. Machine learning models—algorithms that have been trained on data without being explicitly programmed—and more generally, artificial intelligence (AI) models, are an important target for this because of the ever-increasing pace with which AI is transforming scientific domains, such as experimental high energy physics (HEP). In this paper, we propose a practical definition of FAIR principles for AI models in HEP and describe a template for the application of these principles. We demonstrate the template’s use with an example AI model applied to HEP, in which a graph neural network is used to identify Higgs bosons decaying to two bottom quarks. We report on the robustness of this FAIR AI model, its portability across hardware architectures and software frameworks, and its interpretability.","","Machine Learning: Science and Technology","1","10.1088/2632-2153/ad12e3","https://consensus.app/papers/fair-ai-models-in-high-energy-physics-huerta-park/1140ff75e71c5663aab2c49cd240d706/"
"The FAIREr Guiding Principles: Organizing data and metadata into semantically meaningful types of FAIR Digital Objects to increase their human explorability and cognitive interoperability","The FAIREr Guiding Principles suggest incorporating human explorability and cognitive interoperability into knowledge graphs, enhancing their human-actionability and cognitive interoperability.","Lars Vogt",2023,4,"Ensuring the FAIRness (Findable, Accessible, Interoperable, Reusable) of data and metadata is an important goal in both research and industry. Knowledge graphs and ontologies have been central in achieving this goal, with interoperability receiving much attention. The European Open Science Cloud initiative distinguishes in its Interoperability Framework (EOSC IF) four layers of interoperability: technical, semantic, organizational, and legal. This paper argues that the emphasis on machine-actionability has overshadowed the essential need for human-actionability of data and metadata, and provides three examples that describe the lack of human-actionability within knowledge graphs. In response, the paper propagates the incorporation of cognitive interoperability as another vital layer within the EOSC IF and discusses the relation between human explorability of data and metadata and their cognitive interoperability. It suggests adding the Principle of human Explorability, extending FAIR to the FAIREr Guiding Principles. The subsequent sections present the concept of semantic units, elucidating their important role in enhancing the human explorability and cognitive interoperability of knowledge graphs. Each semantic unit can be displayed in a user interface either as a mind-map-like graph or as natural language text. Semantic units organize knowledge graphs into levels of representational granularity, distinct granularity trees, and diverse frames of reference. Semantic units can be represented as FAIR Digital Objects (FDOs) that instantiate corresponding FDO classes. Various categories of FDOs are distinguished. The development of innovative user interfaces enabled by FDOs that are based on semantic units would empower users to access, navigate, and explore information in knowledge graphs with enhanced efficiency.","","","","","https://consensus.app/papers/the-fairer-guiding-principles-organizing-data-and-vogt/bba3ae69fa375c25a3373a34ca5bc2e8/"
